emp_no,first_name,last_name,salary
17405,Valeri,Sethi,107656
17492,Heon,Rodite,101540
17492,Heon,Rodite,103342
17492,Heon,Rodite,106177
17492,Heon,Rodite,107574
17492,Heon,Rodite,111188
17492,Heon,Rodite,111186
17572,Bingning,Alpay,103364
17572,Bingning,Alpay,107025
17572,Bingning,Alpay,110172
17572,Bingning,Alpay,110701
17572,Bingning,Alpay,110241
17572,Bingning,Alpay,109853
17610,Oscal,Hainaut,102907
17840,Tonny,Sherertz,100439
17944,Munenori,Delaune,101274
17944,Munenori,Delaune,104087
17944,Munenori,Delaune,106587
18571,Xinglin,Flowers,100857
19051,Marek,Cappello,100620
19051,Marek,Cappello,103784
19285,Demin,Harnett,101557
19285,Demin,Harnett,103519
19285,Demin,Harnett,103544
19285,Demin,Harnett,105776
19353,Mayumi,Schaar,100378
19353,Mayumi,Schaar,102036
19515,Keiichiro,Gurbaxani,102753
19515,Keiichiro,Gurbaxani,105971
19515,Keiichiro,Gurbaxani,106726
19515,Keiichiro,Gurbaxani,109238
19515,Keiichiro,Gurbaxani,111212
19515,Keiichiro,Gurbaxani,115323
19515,Keiichiro,Gurbaxani,118287
19545,Gen,Lanteri,101122
19545,Gen,Lanteri,103567
19545,Gen,Lanteri,107941
19545,Gen,Lanteri,112374
19545,Gen,Lanteri,114341
19803,Ziva,Kowalchuk,100868
19803,Ziva,Kowalchuk,102719
19803,Ziva,Kowalchuk,103171
19803,Ziva,Kowalchuk,104052
20191,Stabislas,Wroclawski,100684
20321,Arie,Zaumen,101934
20321,Arie,Zaumen,105984
20321,Arie,Zaumen,110051
20321,Arie,Zaumen,109800
20321,Arie,Zaumen,113801
20467,Khoa,Wuwongse,100290
20467,Khoa,Wuwongse,103314
20467,Khoa,Wuwongse,105325
20467,Khoa,Wuwongse,108998
20467,Khoa,Wuwongse,112066
20590,Kazuhito,Christianini,102198
20590,Kazuhito,Christianini,102058
20590,Kazuhito,Christianini,103525
20590,Kazuhito,Christianini,103963
20590,Kazuhito,Christianini,107251
20590,Kazuhito,Christianini,109425
20590,Kazuhito,Christianini,111424
20736,Arvin,Griswold,100466
20736,Arvin,Griswold,100325
20736,Arvin,Griswold,102931
20736,Arvin,Griswold,105533
20736,Arvin,Griswold,106265
20736,Arvin,Griswold,110079
20736,Arvin,Griswold,113859
20890,Taizo,Hofting,100642
20890,Taizo,Hofting,102000
20890,Taizo,Hofting,105800
21075,Surveyors,Dichev,100667
21075,Surveyors,Dichev,101737
21180,Leszek,Magalhaes,101140
21180,Leszek,Magalhaes,102798
21180,Leszek,Magalhaes,106662
21180,Leszek,Magalhaes,109290
21180,Leszek,Magalhaes,109049
21180,Leszek,Magalhaes,113105
21279,Supot,Nyanchama,100528
21279,Supot,Nyanchama,102124
21279,Supot,Nyanchama,104844
21327,Janalee,Litzkow,101163
21327,Janalee,Litzkow,101103
21327,Janalee,Litzkow,102783
21327,Janalee,Litzkow,103844
21327,Janalee,Litzkow,106652
21576,Thodoros,Lorin,100830
21576,Thodoros,Lorin,103775
21859,Padma,Swen,100435
21859,Padma,Swen,103952
21859,Padma,Swen,106987
21968,Djelloul,Kuszyk,100401
21968,Djelloul,Kuszyk,101873
22061,Marla,Maraist,100168
22061,Marla,Maraist,102909
22061,Marla,Maraist,103632
22208,Guangming,Journel,101245
22787,Georgi,Hebert,102695
22941,Jasminko,Pietrzykowski,100559
22941,Jasminko,Pietrzykowski,101676
22941,Jasminko,Pietrzykowski,104957
23151,Ortrun,Lunt,101469
23151,Ortrun,Lunt,103659
23151,Ortrun,Lunt,104809
23151,Ortrun,Lunt,104477
23169,Troy,Feldhoffer,101504
23169,Troy,Feldhoffer,104303
23169,Troy,Feldhoffer,105122
23270,Aloke,Swan,100675
23294,Berthier,Penz,102006
23294,Berthier,Penz,101615
23294,Berthier,Penz,105655
23328,Oscal,Melter,101231
23328,Oscal,Melter,105503
23328,Oscal,Melter,107070
23328,Oscal,Melter,110857
23477,Stein,Heping,103171
23477,Stein,Heping,102895
23477,Stein,Heping,104250
23518,Gritta,Wossner,102264
23518,Gritta,Wossner,104000
23518,Gritta,Wossner,107685
23518,Gritta,Wossner,109956
23575,Mani,Remmers,100930
23575,Mani,Remmers,105128
23623,Phule,Coorg,101962
23653,Mabo,Masada,100580
23653,Mabo,Masada,102024
23653,Mabo,Masada,103589
23653,Mabo,Masada,105013
23653,Mabo,Masada,108653
23653,Mabo,Masada,110394
23653,Mabo,Masada,111978
23653,Mabo,Masada,115447
23719,Martina,Butner,103581
23719,Martina,Butner,104072
23719,Martina,Butner,104106
23753,Karsten,Isaac,101585
24230,Sanjoy,Leivant,100554
24230,Sanjoy,Leivant,103028
24230,Sanjoy,Leivant,106174
24230,Sanjoy,Leivant,105680
24230,Sanjoy,Leivant,108925
24437,Tzu,Peir,102148
24915,Morris,Liedekerke,100809
25243,Abdelwaheb,Koblitz,101273
25243,Abdelwaheb,Koblitz,105697
25243,Abdelwaheb,Koblitz,109550
25243,Abdelwaheb,Koblitz,109758
25243,Abdelwaheb,Koblitz,111537
25243,Abdelwaheb,Koblitz,111595
25243,Abdelwaheb,Koblitz,112266
25243,Abdelwaheb,Koblitz,116184
25243,Abdelwaheb,Koblitz,118012
25243,Abdelwaheb,Koblitz,119897
25243,Abdelwaheb,Koblitz,122237
25696,Akeno,Muntz,100354
25696,Akeno,Muntz,100795
25696,Akeno,Muntz,100825
25696,Akeno,Muntz,104294
25696,Akeno,Muntz,107661
25696,Akeno,Muntz,107481
25696,Akeno,Muntz,109490
25696,Akeno,Muntz,113632
25696,Akeno,Muntz,116635
25901,Munenori,Rousseau,101167
25901,Munenori,Rousseau,102377
25901,Munenori,Rousseau,103021
25901,Munenori,Rousseau,105620
25901,Munenori,Rousseau,108044
25901,Munenori,Rousseau,110549
25901,Munenori,Rousseau,110750
25901,Munenori,Rousseau,110839
25901,Munenori,Rousseau,114818
26061,Yongmao,Alencar,101170
26061,Yongmao,Alencar,103703
26061,Yongmao,Alencar,104211
26061,Yongmao,Alencar,105888
26061,Yongmao,Alencar,106151
26061,Yongmao,Alencar,106604
26061,Yongmao,Alencar,109847
26061,Yongmao,Alencar,113648
26144,Kamakshi,Khasidashvili,101578
26144,Kamakshi,Khasidashvili,101404
26149,LiMin,Kalefeld,101759
26149,LiMin,Kalefeld,104757
26385,Brigham,Peral,102162
26487,Erzsebet,Piazza,102942
26487,Erzsebet,Piazza,106643
26487,Erzsebet,Piazza,107927
26597,Zhenbing,Nannarelli,101464
26597,Zhenbing,Nannarelli,102576
27042,Shridhar,Bail,100153
27042,Shridhar,Bail,102157
27083,Masali,Shihab,103343
27083,Masali,Shihab,107076
27083,Masali,Shihab,109863
27269,Jovan,Huxford,102701
27269,Jovan,Huxford,106437
27269,Jovan,Huxford,109654
27269,Jovan,Huxford,111526
27289,Nagui,Shimshoni,101283
27289,Nagui,Shimshoni,102529
27377,Mara,Gils,100796
27377,Mara,Gils,102622
27377,Mara,Gils,104498
27377,Mara,Gils,104825
27377,Mara,Gils,109160
27799,Mariusz,Msuda,102214
27799,Mariusz,Msuda,103458
28354,Geoffrey,Prochazka,100484
28631,Dmitry,Marletta,100252
28631,Dmitry,Marletta,100680
28631,Dmitry,Marletta,102134
28644,Marla,Heiserman,100245
28690,Spyrose,Yoshizawa,101000
28690,Spyrose,Yoshizawa,103076
29264,Seongbin,Wroclawski,101835
29264,Seongbin,Wroclawski,103366
29271,Hongzue,Makrucki,102320
30123,Rosita,Baba,101774
30123,Rosita,Baba,101991
30123,Rosita,Baba,104347
30123,Rosita,Baba,107262
30738,Urs,Ebeling,100123
30738,Urs,Ebeling,101812
30738,Urs,Ebeling,104869
30738,Urs,Ebeling,104398
30738,Urs,Ebeling,105339
30738,Urs,Ebeling,109658
31325,Shahid,Liedekerke,100120
31325,Shahid,Liedekerke,101962
31325,Shahid,Liedekerke,104142
31325,Shahid,Liedekerke,105277
31325,Shahid,Liedekerke,106696
31325,Shahid,Liedekerke,108167
31325,Shahid,Liedekerke,108462
31345,Toong,Cichocki,100309
31654,Adib,Wallrath,101840
31654,Adib,Wallrath,106274
31654,Adib,Wallrath,107668
31654,Adib,Wallrath,110988
31654,Adib,Wallrath,115388
31654,Adib,Wallrath,118082
31654,Adib,Wallrath,118966
31868,Dhritiman,Jervis,100260
31868,Dhritiman,Jervis,104701
31868,Dhritiman,Jervis,106960
31868,Dhritiman,Jervis,109570
31868,Dhritiman,Jervis,109911
31868,Dhritiman,Jervis,112970
32050,Roselyn,Parveen,101198
32050,Roselyn,Parveen,104241
32050,Roselyn,Parveen,106374
32050,Roselyn,Parveen,108802
32050,Roselyn,Parveen,113236
32182,Yinlin,Yetim,100737
32182,Yinlin,Yetim,102934
32182,Yinlin,Yetim,105469
32214,Baziley,Roohalamini,100674
32405,Vitaly,Haumacher,100230
33285,Boriana,Maquelin,101521
33285,Boriana,Maquelin,105755
33285,Boriana,Maquelin,106671
33285,Boriana,Maquelin,107217
33285,Boriana,Maquelin,107495
33285,Boriana,Maquelin,110420
33285,Boriana,Maquelin,112513
33285,Boriana,Maquelin,115934
34033,Eldridge,Makinen,100162
34524,Ghassan,Jenevein,100605
34524,Ghassan,Jenevein,102254
34524,Ghassan,Jenevein,103720
34524,Ghassan,Jenevein,104230
34524,Ghassan,Jenevein,104835
34524,Ghassan,Jenevein,104785
34524,Ghassan,Jenevein,106695
34524,Ghassan,Jenevein,107104
34524,Ghassan,Jenevein,107581
34583,Xiaopeng,Ranft,101003
34583,Xiaopeng,Ranft,100667
34583,Xiaopeng,Ranft,104944
34683,Stepehn,Covnot,100923
34683,Stepehn,Covnot,101575
34683,Stepehn,Covnot,105729
34683,Stepehn,Covnot,109113
34683,Stepehn,Covnot,111441
34683,Stepehn,Covnot,114651
34683,Stepehn,Covnot,114639
34683,Stepehn,Covnot,117275
34690,Beshir,Litzkow,100332
34844,IEEE,Ranft,100421
34844,IEEE,Ranft,100453
34844,IEEE,Ranft,101422
34844,IEEE,Ranft,103430
34844,IEEE,Ranft,106685
34844,IEEE,Ranft,110722
34844,IEEE,Ranft,113476
34844,IEEE,Ranft,115552
35007,Steen,Menhoudj,102251
35118,Mohua,Nanard,104070
35118,Mohua,Nanard,105028
35118,Mohua,Nanard,106929
35118,Mohua,Nanard,111106
35118,Mohua,Nanard,114792
35425,Hinrich,Desikan,100381
35425,Hinrich,Desikan,102482
35425,Hinrich,Desikan,103239
35425,Hinrich,Desikan,104651
35425,Hinrich,Desikan,108035
35425,Hinrich,Desikan,107702
35837,Sakthirel,Schade,100153
35837,Sakthirel,Schade,103109
35860,Conrado,Zschoche,100386
35860,Conrado,Zschoche,102667
36395,Kwangsub,Boudaillier,100836
36395,Kwangsub,Boudaillier,102039
36395,Kwangsub,Boudaillier,103045
36395,Kwangsub,Boudaillier,104004
36525,Dinkar,Aseltine,100398
36525,Dinkar,Aseltine,103418
36525,Dinkar,Aseltine,103973
36525,Dinkar,Aseltine,103790
36525,Dinkar,Aseltine,106670
36525,Dinkar,Aseltine,110812
36663,Shridhar,Baalen,101118
36663,Shridhar,Baalen,102182
36663,Shridhar,Baalen,106681
36663,Shridhar,Baalen,109687
36663,Shridhar,Baalen,112588
36663,Shridhar,Baalen,113571
36663,Shridhar,Baalen,117010
36663,Shridhar,Baalen,119046
36663,Shridhar,Baalen,118627
36743,Adil,Cronau,101029
36743,Adil,Cronau,103123
36743,Adil,Cronau,106270
36743,Adil,Cronau,108820
36743,Adil,Cronau,110074
36743,Adil,Cronau,112031
36760,Fumiyo,Norsworthy,101416
36760,Fumiyo,Norsworthy,101134
36760,Fumiyo,Norsworthy,103550
36760,Fumiyo,Norsworthy,107197
36760,Fumiyo,Norsworthy,110826
36760,Fumiyo,Norsworthy,114176
36760,Fumiyo,Norsworthy,117033
37120,Kasidit,Masada,100446
37149,Serge,Barriga,100538
37149,Serge,Barriga,102186
37330,Tze,Trelles,100448
37330,Tze,Trelles,100726
37330,Tze,Trelles,104484
37330,Tze,Trelles,106267
37330,Tze,Trelles,105950
37330,Tze,Trelles,109090
37330,Tze,Trelles,112862
37330,Tze,Trelles,115520
37330,Tze,Trelles,118347
37330,Tze,Trelles,120417
37632,Atreye,Candan,102424
37632,Atreye,Candan,101972
37634,Surveyors,Pellegrinelli,103249
37634,Surveyors,Pellegrinelli,104927
37634,Surveyors,Pellegrinelli,108407
37634,Surveyors,Pellegrinelli,110757
37634,Surveyors,Pellegrinelli,113930
37869,Jayesh,Schrift,101043
37869,Jayesh,Schrift,103241
37869,Jayesh,Schrift,104689
37869,Jayesh,Schrift,106059
37869,Jayesh,Schrift,107262
37869,Jayesh,Schrift,111093
37869,Jayesh,Schrift,114675
37869,Jayesh,Schrift,115122
37869,Jayesh,Schrift,115714
37869,Jayesh,Schrift,117263
37869,Jayesh,Schrift,121363
37975,Garnet,Onuegbe,100178
37975,Garnet,Onuegbe,100308
37975,Garnet,Onuegbe,100083
37975,Garnet,Onuegbe,101440
37975,Garnet,Onuegbe,102972
38040,Chinhyun,Dalphin,101022
38040,Chinhyun,Dalphin,101597
38040,Chinhyun,Dalphin,103446
38040,Chinhyun,Dalphin,103419
38060,Ennio,Schahn,100611
38060,Ennio,Schahn,104648
38172,Vincent,Unno,101907
38172,Vincent,Unno,102261
38172,Vincent,Unno,106475
38172,Vincent,Unno,108202
38172,Vincent,Unno,109831
38172,Vincent,Unno,112201
38172,Vincent,Unno,115067
38172,Vincent,Unno,118708
38308,Adit,Alvarado,101087
38308,Adit,Alvarado,104560
38308,Adit,Alvarado,105442
38308,Adit,Alvarado,107304
38308,Adit,Alvarado,108829
38308,Adit,Alvarado,110786
38308,Adit,Alvarado,112622
38308,Adit,Alvarado,112320
38308,Adit,Alvarado,112428
38701,Kristian,Irland,102335
38701,Kristian,Irland,102754
38701,Kristian,Irland,105358
38701,Kristian,Irland,107938
38704,Gay,Bergere,100781
38704,Gay,Bergere,102169
38704,Gay,Bergere,105523
38704,Gay,Bergere,107301
38704,Gay,Bergere,107891
38704,Gay,Bergere,109344
38704,Gay,Bergere,112647
38704,Gay,Bergere,116414
38826,Paris,Wrigley,100639
38826,Paris,Wrigley,101659
38826,Paris,Wrigley,104179
38826,Paris,Wrigley,103900
39018,Irena,Harllee,101443
39018,Irena,Harllee,105364
39018,Irena,Harllee,106097
39055,Remko,Varman,101324
39117,Lunjin,Setia,102835
39117,Lunjin,Setia,104701
39117,Lunjin,Setia,107028
39292,Rayond,Swick,100085
39974,Claude,Stroustrup,100233
39974,Claude,Stroustrup,102061
39974,Claude,Stroustrup,103893
39974,Claude,Stroustrup,103821
39974,Claude,Stroustrup,107337
39974,Claude,Stroustrup,110232
40323,Carrsten,Sidou,103134
40323,Carrsten,Sidou,106467
40444,Garnik,Ginneken,100968
40444,Garnik,Ginneken,102478
40696,Torsten,Siprelle,102612
40696,Torsten,Siprelle,106756
40696,Torsten,Siprelle,106827
40696,Torsten,Siprelle,109180
40696,Torsten,Siprelle,108800
40696,Torsten,Siprelle,112262
40696,Torsten,Siprelle,112357
41499,Kristina,Ratnaker,102819
41527,Hisao,Oxman,100030
41527,Hisao,Oxman,103640
41527,Hisao,Oxman,105551
41527,Hisao,Oxman,107911
41527,Hisao,Oxman,109385
41650,Basem,Pietrzykowski,100200
41650,Basem,Pietrzykowski,103458
41875,Sanjiv,Lukaszewicz,101243
41875,Sanjiv,Lukaszewicz,105469
41875,Sanjiv,Lukaszewicz,106193
42583,Joydip,Henseler,102109
42583,Joydip,Henseler,103510
42583,Joydip,Henseler,103658
42746,Manu,Billawala,100402
42746,Manu,Billawala,100898
42784,Baruch,Koshiba,100673
42784,Baruch,Koshiba,101492
42784,Baruch,Koshiba,105207
42784,Baruch,Koshiba,106836
42784,Baruch,Koshiba,109469
42879,Adib,Sabnani,100634
42879,Adib,Sabnani,103146
42879,Adib,Sabnani,106084
42879,Adib,Sabnani,108898
42879,Adib,Sabnani,109896
42917,Przemyslawa,Stroustrup,100336
42917,Przemyslawa,Stroustrup,100296
42917,Przemyslawa,Stroustrup,104371
42958,Dung,Binkley,100047
42958,Dung,Binkley,103718
42958,Dung,Binkley,105505
42958,Dung,Binkley,107585
42958,Dung,Binkley,107320
43690,Mario,Matheson,102967
43690,Mario,Matheson,105356
43690,Mario,Matheson,108227
43690,Mario,Matheson,109657
43691,Kazuhira,Baalen,100314
43691,Kazuhira,Baalen,100656
43691,Kazuhira,Baalen,102147
43691,Kazuhira,Baalen,106083
43708,Zhongwei,Streng,102084
43751,Hitofumi,Schwartzburd,101748
43927,Toshiki,Attimonelli,101184
43927,Toshiki,Attimonelli,101453
43927,Toshiki,Attimonelli,102675
43927,Toshiki,Attimonelli,105584
43927,Toshiki,Attimonelli,105872
44354,Basant,Garnier,103493
44354,Basant,Garnier,105265
44362,Manton,Kitai,101011
44362,Manton,Kitai,103379
44362,Manton,Kitai,107387
44362,Manton,Kitai,111260
44362,Manton,Kitai,113277
44362,Manton,Kitai,117382
44362,Manton,Kitai,118437
44362,Manton,Kitai,122258
44362,Manton,Kitai,123674
44362,Manton,Kitai,126137
44362,Manton,Kitai,126640
44472,Mingdong,Snyers,101291
44472,Mingdong,Snyers,101739
44472,Mingdong,Snyers,105634
44472,Mingdong,Snyers,109687
44472,Mingdong,Snyers,110717
44472,Mingdong,Snyers,111884
44472,Mingdong,Snyers,111929
44472,Mingdong,Snyers,112107
44496,Insup,Vesna,100463
44496,Insup,Vesna,102605
44496,Insup,Vesna,105465
44659,Hatem,Scallan,102767
44659,Hatem,Scallan,103776
44659,Hatem,Scallan,106817
44659,Hatem,Scallan,109550
44659,Hatem,Scallan,112311
44922,Kellyn,Levasseur,101519
44922,Kellyn,Levasseur,105717
44922,Kellyn,Levasseur,109186
44963,Amabile,Gimbel,100491
44963,Amabile,Gimbel,102050
44963,Amabile,Gimbel,105503
44963,Amabile,Gimbel,105397
44963,Amabile,Gimbel,108345
44963,Amabile,Gimbel,111817
44963,Amabile,Gimbel,111866
44963,Amabile,Gimbel,113381
45353,Ghassan,Ferretti,102054
45353,Ghassan,Ferretti,106031
45354,Taizo,Kriebel,100267
45354,Taizo,Kriebel,103116
45354,Taizo,Kriebel,102633
45354,Taizo,Kriebel,105763
45354,Taizo,Kriebel,109052
45611,Zongyan,Brobst,101118
45611,Zongyan,Brobst,104844
45611,Zongyan,Brobst,107708
45611,Zongyan,Brobst,108472
45611,Zongyan,Brobst,112473
45611,Zongyan,Brobst,113957
45769,Gou,Hennebert,103155
45812,Heon,Perri,100041
45812,Heon,Perri,103720
45812,Heon,Perri,105787
45812,Heon,Perri,105557
45832,Eldridge,Herath,103618
45832,Eldridge,Herath,104699
45832,Eldridge,Herath,105537
45832,Eldridge,Herath,107248
45832,Eldridge,Herath,110505
45832,Eldridge,Herath,113876
46092,Demin,Gerteisen,100797
46092,Demin,Gerteisen,100504
46092,Demin,Gerteisen,103403
46092,Demin,Gerteisen,105477
46092,Demin,Gerteisen,105294
46425,Martina,Leivant,100397
46877,Erzsebet,Angelopoulos,101021
46877,Erzsebet,Angelopoulos,100707
46877,Erzsebet,Angelopoulos,102243
46951,Sibyl,Bugrara,100913
46951,Sibyl,Bugrara,101754
46951,Sibyl,Bugrara,103031
46978,Hugo,Standera,102103
46995,Alagu,Rissanen,100573
47287,Charmane,Reinhart,101581
47287,Charmane,Reinhart,103937
47287,Charmane,Reinhart,107162
47287,Charmane,Reinhart,107417
47290,Djelloul,Yoshimura,101099
47290,Djelloul,Yoshimura,102293
47290,Djelloul,Yoshimura,105176
47290,Djelloul,Yoshimura,106432
47290,Djelloul,Yoshimura,109222
47290,Djelloul,Yoshimura,111982
47368,Elrique,Litvinov,100036
47368,Elrique,Litvinov,102239
47420,Hitomi,Kriebel,101429
47420,Hitomi,Kriebel,102634
47420,Hitomi,Kriebel,102647
47420,Hitomi,Kriebel,102878
47420,Hitomi,Kriebel,102852
47420,Hitomi,Kriebel,104629
47420,Hitomi,Kriebel,108497
47420,Hitomi,Kriebel,109692
47676,Kiyomitsu,Negoita,100048
47737,Kensei,Speek,100356
47737,Kensei,Speek,100777
47737,Kensei,Speek,102974
47737,Kensei,Speek,103082
47737,Kensei,Speek,105806
47737,Kensei,Speek,106994
47737,Kensei,Speek,110292
47737,Kensei,Speek,112724
47737,Kensei,Speek,117079
47737,Kensei,Speek,121467
47737,Kensei,Speek,124622
47869,Bojan,Raoux,101605
47869,Bojan,Raoux,105812
47869,Bojan,Raoux,110028
47869,Bojan,Raoux,113507
48247,Gil,Waeselynck,101339
48247,Gil,Waeselynck,103231
48247,Gil,Waeselynck,105289
48247,Gil,Waeselynck,109004
48247,Gil,Waeselynck,112036
48247,Gil,Waeselynck,111866
48247,Gil,Waeselynck,115320
48247,Gil,Waeselynck,116358
48247,Gil,Waeselynck,117666
48247,Gil,Waeselynck,119164
48247,Gil,Waeselynck,122971
48247,Gil,Waeselynck,123914
48247,Gil,Waeselynck,123977
48247,Gil,Waeselynck,123645
48407,Theirry,Gischer,103007
48407,Theirry,Gischer,107004
48407,Theirry,Gischer,106854
48407,Theirry,Gischer,109774
48407,Theirry,Gischer,110821
48407,Theirry,Gischer,113883
48407,Theirry,Gischer,115681
48407,Theirry,Gischer,115843
48407,Theirry,Gischer,116611
48407,Theirry,Gischer,120022
48407,Theirry,Gischer,121216
48407,Theirry,Gischer,121548
49767,Juyoung,Vesna,101885
49767,Juyoung,Vesna,105058
49767,Juyoung,Vesna,109064
50071,Khue,Baalen,101991
50071,Khue,Baalen,105407
50071,Khue,Baalen,107982
50071,Khue,Baalen,111208
50071,Khue,Baalen,113313
50071,Khue,Baalen,113383
50279,Huan,Brattka,100489
50344,Xiping,Qiwen,100419
50344,Xiping,Qiwen,100183
50344,Xiping,Qiwen,104248
50403,Nalini,Merks,100689
50449,Jagoda,Alvarado,100395
50449,Jagoda,Alvarado,100720
50449,Jagoda,Alvarado,102182
50449,Jagoda,Alvarado,105346
50994,Annemarie,Ranai,100036
50994,Annemarie,Ranai,101058
50994,Annemarie,Ranai,102048
51014,Conor,Gopalakrishnan,100178
51014,Conor,Gopalakrishnan,100639
51014,Conor,Gopalakrishnan,101836
51014,Conor,Gopalakrishnan,104211
51093,Ohad,Crelier,101060
51093,Ohad,Crelier,100563
51093,Ohad,Crelier,100454
51093,Ohad,Crelier,100239
51093,Ohad,Crelier,101602
51455,Jinpo,Schnabel,101327
51455,Jinpo,Schnabel,104423
51455,Jinpo,Schnabel,107533
51455,Jinpo,Schnabel,109288
51455,Jinpo,Schnabel,111957
